,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,nextAudacc,nextbank,nextfinan
164,July 2024,Autobahn88\, a company that sells race car components. Amprex\, a watch manufacturer,Data science related role,Master in Data Science,Nil\, pursuing master study,Nil\, pursuing master study,USA,Data scientist,Data scientist,Hong Kong,,,,False,False,False
165,2024,Local audit firm\, IRD and PWC,Audit firm ,N/A,HK ,auditor ,HK,Auditor ,Banker ,HK,,,,,,,False,False,False
166,204,Audit,Banking ,Non business ,HK,Business related ,HK,Business related ,Unknown ,Unknown,,,,,,,,False,False,False
167,2023,PwC,PwC,HK,PwC,Auditor,PwC,Auditor,Risk assurance,PwC,,,,,,,,True,False,False
168,2024,government,bank,finance,hk,maybe bank or government,hk,maybe bank or government,maybe bank or government,hk,,,,,,,,False,True,False
169,2024,None,Accounting firms,I don’t have such plan,Accounting firms,Accountant,Government,Accountant,Accountant,Government,,,,,,,,True,False,False
170,2024,Hang Seng Bank,Banking/consulting,Econ/IS-related,Hong Kong,Banking/consulting,Hong Kong,Banking/consulting,Banking/consulting,Hong Kong,,,,,,,,False,True,False
171,2024 Spring sem ,Pwc ,Audit ,No ,Pwc ,Audit ,Probably bank ,Operation ,Operation ,Bank,,,,,,,,False,False,False
172,this semester,PwC,PwC,MBA,PwC,PwC,PwC,PwC,It depends,It depends,,,,,,,,True,False,False
173,2024,PwC and local audit firm,tax or other accounting related job,N/A,Business firm,Accounting related job,Business firm or government ,Accounting related,Accounting related,Business firm or government,,,,,,,,True,False,False
174,2024,Audit firm,idk,idk,maybe Big Four,maybe being an auditor,idk,maybe something more challenged,idk,idk,,,,,,,,False,False,False
175,2024,PwC\, Education for Good and the Hong Kong Government ,Citi bank or MUFG,LSE,HSBC,Commercial banking analyst ,In the UK,Commercial banking analyst or esg analyst ,Have not thought of ,Any first tier bank,,,,,,,False,False,False
